"","from","to","weight"
"995",7,13,56
"996",79,79,5
"997",31,80,49
"998",65,65,1118
"999",31,81,5
"1000",54,33,106
"1001",108,52,8
"1002",31,52,36
"1003",20,13,325
"1004",15,5,43
"1005",74,10,3
"1006",30,29,62
"1007",23,29,23
"1008",10,29,26
"1009",31,71,313
"1010",15,71,1
"1011",82,82,44
"1012",5,14,1
"1013",97,7,2
"1014",6,29,31
"1015",23,6,10
"1016",21,24,80
"1017",17,4,77
"1018",10,42,6
"1019",44,42,2
"1020",31,50,182
"1021",139,3,7
"1022",83,83,1
"1023",7,61,2
"1024",31,59,154
"1025",42,29,53
"1026",50,33,10
"1027",66,27,830
"1028",84,84,13
"1029",31,84,10
"1030",12,1,2
"1031",30,24,445
"1032",81,4,8
"1033",85,85,28
"1034",100,1,5
"1035",101,1,22
"1036",38,23,19
"1037",91,66,17
"1038",4,14,2
"1039",30,49,13
"1040",31,49,40
"1041",91,30,657
"1042",108,67,18
"1043",86,21,75
"1044",31,86,26
"1045",150,14,1
"1046",31,68,9
"1047",91,28,149
"1048",17,11,7
"1049",7,44,8
"1050",53,7,11
"1051",128,27,1
"1052",87,87,41
"1053",31,35,147
"1054",4,35,11
"1055",18,27,5
"1056",32,18,35
"1057",172,21,1
"1058",86,55,200
"1059",22,8,492
"1060",6,38,300
"1061",30,21,108
"1062",24,10,3
"1063",88,88,17
"1064",7,88,1
"1065",29,24,45
"1066",25,27,6
"1067",43,38,2
"1068",31,89,8
"1069",18,54,10
"1070",32,54,6
"1071",55,21,26
"1072",30,79,4
"1073",153,2,7
"1074",49,8,176
"1075",119,4,50
"1076",56,30,142
"1077",1,33,33
"1078",32,4,156
"1079",111,28,4
"1080",149,30,7
"1081",22,18,11
"1082",7,34,72
"1083",42,47,1
"1084",9,30,63
"1085",51,27,2
"1086",1,38,46
"1087",57,30,69
"1088",96,31,274
"1089",23,39,3
"1090",65,32,12
"1091",92,92,70
"1092",93,93,31
"1093",20,29,27
"1094",88,38,3
"1095",94,94,28
"1096",27,53,2
"1097",129,30,12
"1098",30,31,70
"1099",96,96,32
"1100",31,96,10
"1101",57,28,12
"1102",178,28,9
"1103",28,28,490
"1104",30,16,133
"1105",57,46,7
"1106",6,39,64
"1107",32,20,6
"1108",86,20,18
"1109",91,21,824
"1110",91,18,77
"1111",54,21,19
"1112",57,56,688
"1113",37,56,4
"1114",39,56,7
"1115",175,56,2
"1116",155,56,7
"1117",111,24,79
"1118",57,31,12
"1119",42,18,2
"1120",34,7,67
"1121",45,22,667
"1122",18,22,16
"1123",149,21,12
"1124",57,21,33
"1125",32,86,1
"1126",97,97,78
"1127",16,30,35
"1128",21,30,616
"1129",30,73,6
"1130",44,31,45
